"district","malaria_cases","population"
"Lilongwe",12450,2300000
"Blantyre",9870,1800000
"Mzimba",6540,940000
"Zomba",7820,1050000
"Mzuzu City",2310,220000
"Kasungu",4560,780000
"Salima",3890,450000
"Mangochi",8760,920000
"Mulanje",5430,680000
"Thyolo",6120,590000
"Chiradzulu",4320,450000
"Balaka",3650,380000
"Machinga",7890,720000
"Dedza",3210,540000
"Ntcheu",4870,490000
"Karonga",2340,370000
"Rumphi",1870,2e+05
"Nkhata Bay",2560,230000
"Chitipa",1230,160000
"Likoma",340,12000
"Dowa",3450,650000
"Mchinji",2980,460000
"Nkhotakota",3120,340000
"Ntchisi",1890,220000
"Nsanje",2340,310000
"Chikwawa",5670,490000
"Phalombe",2890,360000
"Neno",1230,120000
